playlist,track_name,artist,album,release_date,popularity,track_id
Bollywood Top 50,"Kabhii Tumhhe (From ""Shershaah"")","Javed-Mohsin, Darshan Raval, Rashmi Virag","Kabhii Tumhhe (From ""Shershaah"")",2021-08-19,59,6R6BpMBFQrF7n2uEOxYmss
Bollywood Top 50,Saadi Galli Aaja,"Rochak Kohli, Ayushmann Khurrana, Neeti Mohan",Nautanki Saala !,2013-02-25,62,6riCsiX9csuomBYnenrtGd
Bollywood Top 50,Pehli Nazar Mein,"Atif Aslam, Pritam",Race (Original Motion Picture Soundtrack),2008-03-21,66,17opN752ZQpNuoptelsNQ1
Bollywood Top 50,Tu hai kahan,AUR,Tu hai kahan,2023-06-10,0,4VhqKzBeAlhTjLYZr0oJx8
Bollywood Top 50,"Hamari Adhuri Kahani (Title Track) [From ""Hamari Adhuri Kahani""]","Jeet Gannguli, Arijit Singh, Rashmi Virag","Hamari Adhuri Kahani (Title Track) [From ""Hamari Adhuri Kahani""]",2015-05-21,52,3eQL03MvTJQkLqXryJ8Fja
Bollywood Top 50,Lambiyaan Si Judaiyaan,"Arijit Singh, Shadab, Altamash Faridi, Jam8, Amitabh Bhattacharya",Raabta,2017-06-03,50,5eycUcX0HZsZjSKPD58pF8
Bollywood Top 50,Tere Pyaar Mein,"Pritam, Arijit Singh, Amitabh Bhattacharya, Nikhita Gandhi","Tere Pyaar Mein (From ""Tu Jhoothi Main Makkaar"")",2023-02-01,71,2ZD4aIEepqZsdxPxLSuUhm
Bollywood Top 50,Kya Karoon?,"Shankar-Ehsaan-Loy, Clinton Cerejo, Dominique Cerejo, Loy Mendonsa",Wake Up Sid (Original Motion Picture Soundtrack),2009-08-21,52,4Yp8zw7b35bheMVTp39o5O
Bollywood Top 50,Kyon,"Pritam, Papon, Sunidhi Chauhan",Barfi! (Original Motion Picture Soundtrack),2012-06-24,64,1sYC1fG7s4p0pTykrJqmgW
Bollywood Top 50,"Teri Yeh Baatein - From ""Kho Gaye Hum Kahan""","OAFF, Savera, Ankur Tewari",Kho Gaye Hum Kahan (Original Motion Picture Soundtrack),2023-12-10,41,03jBweps9fu6BtkItGNcli
Bollywood Top 50,Dil To Bachcha Hai,Rahat Fateh Ali Khan,Ishqiya,2009-12-31,64,3EFGRGsshk0NWidcXfhKvw
Bollywood Top 50,Maula Mere Maula,Roop Kumar Rathod,Anwar,2007-01-12,72,4CGBTtlrjZj7ydpV52cgB4
Bollywood Top 50,"Tere Hawaale (From ""Laal Singh Chaddha"")","Pritam, Arijit Singh, Shilpa Rao","Tere Hawaale (From ""Laal Singh Chaddha"")",2022-08-04,70,4blqlsA1uf2d2I40E90EUC
Bollywood Top 50,Naina Da Kya Kasoor,Amit Trivedi,Andhadhun (Original Motion Picture Soundtrack),2018-10-03,69,2g3o6I7YuKFEUn9OOfuAfP
Bollywood Top 50,Matargashti,Mohit Chauhan,Tamasha,2015-10-16,64,5GeBgck1MU2tlIkMpsn8uT
Bollywood Top 50,Dekha Hazaro Dafaa,"Arijit Singh, Palak Muchhal, Manoj Muntashir",The Arijit Singh Collection,2023-05-26,64,0Xsokp10GYOJrrf0Uviv2w
Bollywood Top 50,"Ek Dil Ek Jaan (From ""Padmaavat"")","Shivam Pathak, A.M. Turaz","Ek Dil Ek Jaan (From ""Padmaavat"")",2017-11-11,57,0M9UxL5CebtmlijPMH6KfW
Bollywood Top 50,"Sajni (From ""Laapataa Ladies"")","Ram Sampath, Arijit Singh, Prashant Pandey","Sajni (From ""Laapataa Ladies"")",2024-02-12,76,5zCnGtCl5Ac5zlFHXaZmhy
Bollywood Top 50,Shaayraana,"Arijit Singh, Pritam",Holiday - A Soldier Is Never Off Duty (Original Motion Picture Soundtrack),2014-06-06,52,0EZTe2i9yDYsYVO1YNEVZf
Bollywood Top 50,Ajj Din Chadheya,"Pritam, Rahat Fateh Ali Khan, Irshad Kamil",Love Aaj Kal (Original Motion Picture Soundtrack),2009-07-31,68,4NmWv6PEGEAmorN5UN9fRo
Bollywood Top 50,Dooriyan,"Pritam, Mohit Chauhan, Irshad Kamil",Love Aaj Kal (Original Motion Picture Soundtrack),2009-07-31,66,5F79ZdjOwGOhUKRHx94sr1
Bollywood Top 50,Rabba Main Toh Mar Gaya Oye,"Pritam, Rahat Fateh Ali Khan",Mausam,2011-08-11,60,5xRci5qoXzzJgR6ZwzXO2J
Bollywood Top 50,Saudebazi (Encore),"Pritam, Javed Ali",Aakrosh,2010-09-18,67,1tPPINau3vBP8Q89JTn0ER
Bollywood Top 50,Ishq Sufiyana (Male),"Vishal-Shekhar, Kamal Khan",The Dirty Picture,2011-10-29,72,5zcfnScTSFGCHGY1yeXWke
Bollywood Top 50,Zaalima,"Arijit Singh, Harshdeep Kaur",Raees (Original Motion Picture Soundtrack),2017-01-24,71,1J9vyEntJ79CppvgUxJs75
Bollywood Top 50,Phir Bhi Tumko Chaahunga,"Mithoon, Manoj Muntashir, Arijit Singh, Shashaa Tirupati",Half Girlfriend (Original Motion Picture Soundtrack),2017-04-30,70,3oNVqllTnz7bHrY3f0nICg
Bollywood Top 50,Qaafirana,"Amit Trivedi, Arijit Singh, Nikhita Gandhi",Kedarnath (Original Motion Picture Soundtrack),2018-11-27,70,7BCp5hEiiDSmXsxsXkvYff
Bollywood Top 50,"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya","Kesariya (From ""Brahmastra"")",2022-07-17,72,6VBhH7CyP56BXjp8VsDFPZ
Bollywood Top 50,Tere Sang Yaara,"Atif Aslam, Manoj Muntashir",Rustom (Original Motion Picture Soundtrack),2016-07-15,64,72CkpVdvmc8t28o8I9N32J
Bollywood Top 50,Tujhe Kitna Chahne Lage,"Arijit Singh, Mithoon",Kabir Singh,2019-06-14,61,5QtEFRYavs5S3GHtFEq7A4
Bollywood Top 50,"Suno- Na Sangemarmar (From ""Youngistaan)",Arijit Singh,Love Dose Arijit Singh,2016-02-11,66,2ESscisnKdryn50fPeHd7O
Bollywood Top 50,Khairiyat (Bonus Track),"Pritam, Arijit Singh",Chhichhore,2019-08-31,62,3oM90C4SZLYzVZJEZD5EQk
Bollywood Top 50,Tu Chahiye,"Pritam, Atif Aslam, Amitabh Bhattacharya",Bajrangi Bhaijaan,2015-07-07,68,3aaiAWCet6sbfOfLSn3g7i
Bollywood Top 50,Dekha Hazaro Dafaa,"Arijit Singh, Palak Muchhal, Manoj Muntashir",Rustom (Original Motion Picture Soundtrack),2016-07-15,64,190P8pyw8J4gr6ygwUlG3z
Bollywood Top 50,Hamari Adhuri Kahani (Title Track),"Jeet Gannguli, Arijit Singh, Rashmi Virag",Hamari Adhuri Kahani (Original Motion Picture Soundtrack),2015-05-21,73,3HiobOOpSpMsi95WBKPBYk
Bollywood Top 50,"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")",Arijit Singh,Ultimate Love Songs - Arijit Singh,2020-05-19,67,1NX33DecZrq4ZUGDc47AfN
Bollywood Top 50,Aaoge Jab Tum,"Rashid Khan, Sandesh Shandilya, Faaiz Anwar",Jab We Met,2007-09-21,64,3fWMFwaJil8fD14JCgwbcL
Bollywood Top 50,"Tu Hi Meri Shab Hai - From ""Gangster""","Pritam, KK",Gangster (Original Motion Picture Soundtrack),2006-09-08,70,1ufeADg0jivKpOFiAv3PYg
Bollywood Top 50,Billo Rani,"Pritam, Anand Raj Anand, Richa Sharma",Dhan Dhana Dhan Goal,2007-10-30,61,4NtaQSiRgkQ2Af8GSW0B0t
Bollywood Top 50,Hum Toh Deewane,"Rajat Nagpal, Yasser Desai, Rana Sotal",Hum Toh Deewane,2023-09-14,60,2A4lcqTJZgUs1XrW6TSvt0
Bollywood Top 50,Kuchh Khaas,"Mohit Chauhan, Neha Bhasin",Fashion,2008-09-19,59,01npLGQTbZBIHVRcXJbLzR
Bollywood Top 50,Yeh Fitoor Mera,"Amit Trivedi, Arijit Singh",Fitoor (Original Motion Picture Soundtrack),2018-05-15,68,7kvLAPEnEPlSbhZDlHFv0p
Bollywood Top 50,"Tenu Sang Rakhna (From ""Jigra"")","Achint, Arijit Singh, Anumita Nadesan, Varun Grover","Tenu Sang Rakhna (From ""Jigra"")",2024-10-03,67,0Yf9Tgv5f55njDQeuRUnQH
Bollywood Top 50,Yaariyaan - Male,"Pritam, Irshad Kamil",Cocktail (Original Motion Picture Soundtrack),2012-06-15,57,0EiZCuVOP3E9MobSidssSC
Bollywood Top 50,Jiya Lage Na,"Sona Mohapatra, Ravindra Upadhyay",Talaash,2012-10-18,61,5AhxzlhZbKYfu4YNiUnmvx
Bollywood Top 50,Saajna,"Falak Shabbir, Kumaar","I, Me Aur Main",2013-02-05,62,7KzGAwJRYS9KLMuVnStqYN
Bollywood Top 50,Jaane De,"Atif Aslam, Raj Shekhar, Vishal Mishra",Qarib Qarib Singlle (Original Motion Picture Soundtrack),2018-09-04,51,0wztb6FrcdU4ZaExziQgt7
Punjabi Hits,Wavy,"Karan Aujla, Jay Trak",Wavy,2024-11-15,77,4d2jV5fmX6hbRwaRbY39dt
Punjabi Hits,Bandana,Shubh,Bandana,2024-03-29,72,7KQdgW7QzNd9oPoCzjCU76
Punjabi Hits,ANTIDOTE,Karan Aujla,Four Me,2024-06-26,71,7KmCQLSSde0UX5OqCgvGN9
Punjabi Hits,Jatt Mehkma,Yo Yo Honey Singh,Glory,2024-08-26,66,61R3DMR4U2n25qgX9ryciJ
Punjabi Hits,Old Money,AP Dhillon,The Brownprint,2024-08-30,70,5xlYVZxEwriP6hetG7QJw7
Punjabi Hits,Millionaire,Yo Yo Honey Singh,Glory,2024-08-26,74,78BWCd70D1X6LMkDZm1UoF
Punjabi Hits,Tere Bina Na Guzara E,Josh Brar,Tere Bina Na Guzara E,2024-09-26,72,0NXnuTqFQHDsbEIoKIAVCN
Punjabi Hits,Scenario,"Sammohit, Mahlan Wala 59",Scenario,2024-08-06,49,4A7TPu84Nvaz9RwcHYG2Ol
Punjabi Hits,"Tu Juliet Jatt Di ( From ""Jatt & Juliet 3"")","Diljit Dosanjh, Bunny, Sagar","Tu Juliet Jatt Di ( From ""Jatt & Juliet 3"")",2024-05-24,56,2FRSsjZloHsmBF60bCoPrQ
Punjabi Hits,Softly,"Karan Aujla, Ikky",Making Memories,2023-08-18,75,0YQJoDL6f46J0n1rOVkpxJ
Punjabi Hits,Sifar Safar,Karan Aujla,Sifar Safar,2024-10-18,66,3lQPwCmD918SyoiIkw1zqx
Punjabi Hits,9:45,"Prabh Singh, Jay Trak, Rooh Sandhu",9:45,2023-03-10,70,6c4Po8zyQjB4cR5XgLhcGb
Punjabi Hits,Mombattiye,"Diljit Dosanjh, Jaani, Bunny",Mombattiye,2024-08-05,56,3svJaCD1g4aeQOXGc1aOIB
Punjabi Hits,Zaroor,"Aparshakti Khurana, Savi Kahlon",Zaroor,2024-05-28,74,5thVzD79BxlDTYy0LfHzvu
Punjabi Hits,King Shit,Shubh,Leo,2024-01-05,70,1BpvuKIG7jK5EiTp2tv5z8
Punjabi Hits,God Damn,"Badshah, Karan Aujla, Hiten",Ek Tha Raja,2024-03-18,71,209QxKVJzh2FLUmZHpYs4m
Punjabi Hits,Ve Haaniyaan,"Danny, Avvy Sra, Sagar",Ve Haaniyaan,2024-01-19,71,2C6CJGFLbisteRuY6Plb7b
Punjabi Hits,One Love,Shubh,One Love,2023-08-18,75,5ZLkihi6DVsHwDL3B8ym1t
Punjabi Hits,Only You,AR Paisley,Only You,2024-02-14,37,4PSvazj8Yc6zgtmc4RUoIx
Punjabi Hits,Problems Over Peace,"AP Dhillon, Stormzy",Problems Over Peace,2024-04-05,51,7ups0PLQ1oiRnkneh3SQSD
Punjabi Hits,Hass Hass,"Diljit Dosanjh, Sia, Greg Kurstin",Hass Hass,2023-10-26,68,72vuBPMhwFNlSYpTSf6fVD
Punjabi Hits,"Arjan Vailly (From ""ANIMAL"")","Manan Bhardwaj, Bhupinder Babbal","Arjan Vailly (From ""ANIMAL"")",2023-11-18,59,1YKPRycM3GzKbZUYDgLrmn
Punjabi Hits,Tareefan,"Karan Aujla, DIVINE",Street Dreams,2024-02-16,61,2Oj9fYVgSyJ2LlGs1WTf3P
Punjabi Hits,"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Mitraz,"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",2024-01-19,72,0M0ANKNzmM4Odd7FNKghzW
Punjabi Hits,Real Talk,"AP Dhillon, Shinda Kahlon",Real Talk,2024-03-15,43,4mPtl3xcn3YForEsRWIsAT
Punjabi Hits,Mi Amor,"Sharn, The Paul",Mi Amor,2022-09-30,24,6abZ3FsLpBIKhjq387M6VH
Punjabi Hits,Lover,Diljit Dosanjh,MoonChild Era,2021-08-22,68,0XwRlvv3KlOu4HWlOH34XG
Punjabi Hits,8 ASLE,"Sukha, Chani Nattan, Prodgk, Gurlez Akhtar",UNDISPUTED,2023-11-17,66,6wkHR8cU4INbp145hngbQO
Punjabi Hits,Drippy,"Sidhu Moose Wala, Mxrci, AR Paisley",Drippy,2024-02-02,61,4fnIORP0QTYTOMPqMKpJtF
Punjabi Hits,Cheques,Shubh,Still Rollin,2023-05-19,76,4eBvRhTJ2AcxCsbfTUjoRp
Punjabi Hits,Hot Shit,Arjan Dhillon,Chobar,2024-02-01,57,5olluo8Xh733gDwhmchDlp
Punjabi Hits,1234,"Parmish Verma, Chani Nattan, Inderpal Moga, Mad Mix",Y Hate ?,2024-02-15,37,5FG4L93PesZSprpYuF5Xv7
Punjabi Hits,Yaad,"Karan Aujla, DIVINE, Jonita Gandhi",Street Dreams,2024-02-16,59,0GxXlmjiZNBWi44AUblZsR
Punjabi Hits,Kinni Kinni,"Diljit Dosanjh, thiarajxtt",Ghost,2023-09-29,71,3F3ZuXYFXGM1V6pk3b3zmi
Punjabi Hits,Hood Anthem,Shubh,Leo,2024-01-05,57,0GlMiCB4JQRIN6n9h7WkNi
Punjabi Hits,Belong,"Straight Bank, Big Boi Deep, DJ Prodiigy",The Straight Bank Project,2021-01-27,38,5mCRJhRW1XDXbrYQxj2cnv
Punjabi Hits,Apa Fer Milaange,"Savi Kahlon, The Masterz",Apa Fer Milaange,2023-12-15,63,6JP8RinqsLkPiBi7B0VLGJ
Punjabi Hits,Hisaab,"DIVINE, Karan Aujla",Street Dreams,2024-02-16,47,1yRBYvgibg7JVS6uGvbDGU
Punjabi Hits,Case,"Diljit Dosanjh, Intense",Ghost,2023-09-29,61,0TdWXMXyfTQ2qp5vvU9LID
Punjabi Hits,Mohalla,"Afsana Khan, Abeer, Oye Kunaal",Mohalla,2024-03-12,33,4CMTAmFhX0nYk7k5PWjsoK
Punjabi Hits,With You,AP Dhillon,With You,2023-08-11,73,0xIuPDzJSnJywALez8dwKR
Punjabi Hits,Scars,AP Dhillon,First of a Kind (From the Amazon Original Series),2023-09-08,53,2WzcdOr9IGIWjGQLEtV90Y
Punjabi Hits,Watch Out,"Sidhu Moose Wala, Sikander Kahlon, Mxrci",Watch Out,2023-11-12,57,3ZzUOWnQuNxenx2MbZqtYq
Punjabi Hits,True Stories,"AP Dhillon, Shinda Kahlon",True Stories,2023-06-16,67,28lvraTNIN8qiTpoIK7m8Z
Punjabi Hits,Summer High,AP Dhillon,Summer High,2022-08-05,69,1aL9518P5G72N92b48tuKw
Punjabi Hits,Jatt Vailly,"Diljit Dosanjh, thiarajxtt",Ghost,2023-09-29,56,18kRElgBSIAsd3DHPUajuI
Punjabi Hits,Sleepless,AP Dhillon,Sleepless,2023-07-14,55,6TJ8etbh8uFFLuVbLj25lz
Punjabi Hits,Attraction,"Sukha, Prodgk",Attraction,2023-07-14,63,0biuGbhZwYnuUwMOi4fvaN
Punjabi Hits,Heeriye (feat. Arijit Singh),"Jasleen Royal, Arijit Singh, Dulquer Salmaan",Heeriye (feat. Arijit Singh),2023-07-25,75,5PUXKVVVQ74C3gl5vKy9Li
Punjabi Hits,Obsessed,"Riar Saab, Abhijay Sharma",Obsessed,2022-09-29,65,6Z4rRhYZVQsYKmrxD40tru
Punjabi Hits,Still Rollin,Shubh,Still Rollin,2023-05-19,69,6oz1L5jcqZWYuId7nxvIan
Punjabi Hits,4.10,"DIVINE, Lal Chand Yamla Jatt",4.10,2023-12-22,53,1AcoISAQZgYBflkE9JgOl4
Punjabi Hits,California Love,"Cheema Y, Gur Sidhu",ANYWAY,2023-01-30,71,610keNiNVTIkYD0CqeSerg
Punjabi Hits,Apa Fer Milaangey,"Savi Kahlon, The Masterz",Apa Fer Milaangey,2023-12-05,55,5BBB2PDgDWi6NBECj0wJiA
Punjabi Hits,Jee Ni Lagda,"Karan Aujla, Ikky",Making Memories,2023-08-18,68,1Er6TEtbyuW1b9QtBVkggD
Punjabi Hits,Mera Na,"Sidhu Moose Wala, Burna Boy, Steel Banglez",Mera Na,2023-04-07,54,0TlGvDUBcIUGZOroftyVF4
Punjabi Hits,Admirin' You (feat. Preston Pablo),"Karan Aujla, Ikky, Preston Pablo",Admirin' You (feat. Preston Pablo),2023-08-01,64,6NJ8Z5GDoHe47R6gGX6sLq
Punjabi Hits,295,Sidhu Moose Wala,Moosetape,2021-05-15,71,5W7DOVGQLTigu09afW7QMT
Punjabi Hits,52 Bars,"Karan Aujla, Ikky",Four You,2023-02-04,73,6rFckZb1cuJYzsZiGHgqks
Punjabi Hits,Pagol,"Deep Jandu, Bohemia",Pagol,2019,59,7MpfARGQRFqZxHEWLBjDkx
Punjabi Hits,Wo Noor,AP Dhillon,Two Hearts Never Break The Same,2022-10-07,67,32FVH23yFXr8Z0sfjRw4It
Punjabi Hits,The Last Ride,"Sidhu Moose Wala, Wazir Patar",The Last Ride,2022-05-15,62,7B4uYqxTpTOS1sgxFB9Ann
Punjabi Hits,Chorni,"DIVINE, Sidhu Moose Wala",Chorni,2023-07-07,62,3GEiVoaUXq468gfYs2EPfh
Punjabi Hits,Check It Out,"Parmish Verma, Paradox",Check It Out,2023-06-27,67,4VosVUajzm6nzGlSb6nP3L
Punjabi Hits,SPAIN,"Jassa Dhillon, thiarajxtt",VIBIN,2023-01-09,62,4ZVtid5khBfDx6Co0vTUE6
Punjabi Hits,Rubicon Drill,"Laddi Chahal, Parmish Verma, Gurlez Akhtar",Forever,2022-11-16,63,03yKEFruN3BS2coglBtt2N
Punjabi Hits,Wiseman Sidhu,Sidhu,Wiseman Sidhu,2023-08-16,0,1hty36TBSTEnEXN8Wa9dzf
Punjabi Hits,Daku,"Chani Nattan, Inderpal Moga",Daku,2021-01-16,58,7DwTSQkrMt6JdxxDOvskjW
Punjabi Hits,On Top,Karan Aujla,On Top,2022-11-25,0,2xFg6AyHkXFruGxRjy7Uzn
Punjabi Hits,P.O.V (Point of View),"Karan Aujla, Yeah Proof",P.O.V (Point of View),2023-04-24,40,6UrzFiKewXzRrRDx7lKxa6
Punjabi Hits,Moon Rise,"Guru Randhawa, Sanjoy",Man Of The Moon,2022-08-22,61,3oWv5qDKYN7MH6FdlglMN5
Punjabi Hits,Her,Shubh,Her,2022-11-30,62,6biqkuWq069vByAEeGxZlr
Punjabi Hits,angels,"HRJXT, Intense",Twenty Two,2022-02-22,53,1tzMa1ma7O05lIgr4XKia8
Punjabi Hits,Showstopper,JERRY,Showstopper,2023-04-11,0,64mInfKzmJIbuTvcnhRgfW
Punjabi Hits,WAKE UP,Gurinder Gill,HARD CHOICES,2023-06-09,58,69vbni6QGflWHbLmhL3j3m
Punjabi Hits,Players,"Badshah, Karan Aujla, Devika Badyal",Players,2022-12-21,56,5TjVLCESR9XIp5vDAWYfmi
Punjabi Hits,Luna,Diljit Dosanjh,MoonChild Era,2021-08-22,50,1Hy2ZRkFGC3P47r6lDX2sy
Punjabi Hits,Bachke Bachke (feat. Yarah),"Karan Aujla, Ikky, Yarah",Making Memories,2023-08-18,67,2uWZ7EGddFlA1DJ3Rzzvs2
Punjabi Hits,Take It Easy,"Karan Aujla, Ikky",Four You,2023-02-04,67,5si4xdFplkXAydKfFe1xXa
Punjabi Hits,Milde,"Arjan Dhillon, Mxrci",A for Arjan,2022-11-25,45,2d5u6ttu5nqLIdpzebeSuP
Punjabi Hits,Final Thoughts,"AP Dhillon, Shinda Kahlon, Gminxr",Two Hearts Never Break The Same,2022-10-07,56,5yj7D4UllTkAccTmROibCQ
Punjabi Hits,Balle Jatta,Diljit Dosanjh,Balle Jatta,2022-10-21,43,3TMub7U6GmZ9RIaQpQerbZ
Punjabi Hits,Baller,"Shubh, Ikky",Baller,2022-09-09,67,42TMa2hgBNjte4uV7jNCnQ
Punjabi Hits,No Love,Shubh,No Love,2022-02-22,73,08Isz2ETWSBhvIl8UpKYsp
Punjabi Hits,Wytb,"Karan Aujla, Gurlez Akhtar",Wytb,2022-11-25,53,0mitUgVDvaKFw4EuXZ8nLx
Punjabi Hits,Reshmi Rumal,"Arjan Dhillon, Arsh Heer",A for Arjan,2022-11-25,54,3hfP5vbZeGOKcczj7gg8La
Punjabi Hits,Notorious,Wazir Patar,Notorious,2021-04-30,0,0n34awvLFvIayNC43L9JYw
Punjabi Hits,Vibe,Diljit Dosanjh,MoonChild Era,2021-08-22,55,44gJjTJwY4eba0jpNnrlld
Punjabi Hits,Sheesha,Karan Aujla,Sheesha,2022-08-29,54,5uHy68Q7ZWe8Qq9k7EAprS
Punjabi Hits,Dhundhala,"Yashraj, Dropped Out, Talwiinder",Dhundhala,2022-02-18,0,5XseQZ9TGr06Rv1Ye6wCu0
Punjabi Hits,Waalian,Harnoor,Waalian,2020-08-10,0,68AyTcvyK46hpzwohHUkJI
Punjabi Hits,TERE TE,"AP Dhillon, Gurinder Gill",HIDDEN GEMS,2021-11-21,59,6TClJ8jXi3OBV7gcrU3jx5
Punjabi Hits,Bitch I'm Back,Sidhu Moose Wala,Moosetape,2021-05-15,63,2mKvEIvd912eg3FZ8WamMS
Punjabi Hits,Same Beef,"Bohemia, Sidhu Moose Wala",Same Beef,2019-09-18,69,65c6VCikt7f5sAS1heoYQC
Punjabi Hits,Akhiyaan,Mitraz,Akhiyaan,2022-02-24,0,2l3dFxtoSMgMQVyRIUHjpz
Punjabi Hits,Never Fold,"Sidhu Moose Wala, Sunny Malton, SOE",No Name,2022-04-25,68,3JkVYvxNoGf2HCWJo61462
Punjabi Hits,Ilzaam,"Arjan Dhillon, Mxrci",Saroor,2023-06-29,53,0orOI8nTid7fxPvWIx1tKP
Punjabi Hits,OFFSHORE,Shubh,OFFSHORE,2021-11-22,0,4Mh04VNolWA9g97ychP72l
Punjabi Hits,Moonlight,Harnoor,Moonlight,2020-12-27,0,1WQYMD3P6vndxvVCtft1DW
Punjabi Hits,We Rollin,Shubh,We Rollin,2021-09-09,68,6ZYxNjuAU9Vy3VtF6W1dtE
Punjabi Hits,Cause Of You,Zehr Vibe,Cause Of You,2022-09-09,38,0J4IWvRmKF6Trw9MxSeCWE
Punjabi Hits,Qismat,Ammy Virk,Qismat,2017-07-17,61,3EqgnmFJIarfSqSdBWMI8r
Punjabi Hits,Gangland,Mankirt Aulakh,Mankirt Aulakh - Best Hits,2018-07-10,39,4UY2GSXlMHfrfvPbBdlRDv
Punjabi Hits,Judge,"Mankirt Aulakh, Flamme Music",Judge Ban Na,2022-02-04,55,6Ffl1BBRfr8I2ASR6iiRTe
Punjabi Hits,Kina Chir,The PropheC,The Lifestyle,2016-12-29,8,2jrKt7TeBeDtmLBZ3grQQj
Punjabi Hits,Brown Munde,"AP Dhillon, Gminxr, Gurinder Gill, Shinda Kahlon",Brown Munde,2020-09-18,70,58f4twRnbZOOVUhMUpplJ4
Punjabi Hits,Takeover,"AP Dhillon, Gurinder Gill, Money Musik, AR Paisley",Not by Chance,2020-12-23,61,5DVnSQ90r2M3gm6XbgTCLp
Punjabi Hits,Dior,Shubh,Still Rollin,2023-05-19,65,53QrRlALFJfZgdcGLKwy5s
Punjabi Hits,Sakhiyaan,Maninder Buttar,Sakhiyaan,2018-10-21,64,3sqRODOZ1Z6hR4F2tnFAlg
Punjabi Hits,Black & White,Diljit Dosanjh,MoonChild Era,2021-08-22,54,5wiSbeDm2p5yniuus7eH4J
Punjabi Hits,Satisfya,Imran Khan,Satisfya,2013-05-09,65,6HGoVbCUr63SgU3TjxEVj6
Punjabi Hits,Saada Pyaar,"AP Dhillon, Gurinder Gill, Money Musik",Not by Chance,2020-12-23,63,5gSVKG0R4xc8qtDIoyDNy8
Punjabi Hits,Pasoori,"Ali Sethi, Shae Gill",Pasoori,2022-02-07,59,7lvDsmTRXFE3dK4OjvRiWB
Punjabi Hits,Unforgettable,"Diljit Dosanjh, Intense, Chani Nattan",Unforgettable,2021-12-24,49,7HWMIRSmUrhlbveXerIEWk
Punjabi Hits,Dil Nu,"AP Dhillon, Shinda Kahlon",Two Hearts Never Break The Same,2022-10-07,74,7AsG1F1eMWd17RYan8M3Wm
Punjabi Hits,Lamberghini,"The Doorbeen, Ragini",Lamberghini - Single,2018-02-26,47,0N8eNF7HSu4wlZFcmjLUxt
Punjabi Hits,Laembadgini,Diljit Dosanjh,Do Gabru - Diljit Dosanjh & Akhil,2018-07-10,33,3JbAc6kG0otlXHso9uDucj
Punjabi Hits,Koka,"Diljit Dosanjh, Sargi Maan","Koka (From ""Babe Bhangra Paunde Ne"")",2022-09-23,41,1saDM1hv3pTHf9ulsxm5Iy
Punjabi Hits,Excuses,"AP Dhillon, Gurinder Gill, Intense",Excuses,2020-07-24,73,29m79w9xPMH4YCD6r8JSmV
Punjabi Hits,"High Rated Gabru (From ""High Rated Gabru"")",Guru Randhawa,High Rated Gabru - Guru Randhawa,2019-03-02,57,2LEwvQq0PFtrmIl2dikenr
Punjabi Hits,Old Skool,"Prem Dhillon, Sidhu Moose Wala",Old Skool,2020-08-05,59,4V9rQZOGILc4YfBnCDXgTz
Punjabi Hits,Schedule,"Tegi Pannu, Manni Sandhu",Schedule,2021-08-20,61,5eGsHi6RcL33gb9k89UYaB
Punjabi Hits,Born to Shine,Diljit Dosanjh,G.O.A.T.,2020-07-29,72,4XxfOvudrnBRdlgzEaq1sd
Punjabi Hits,Untouchable,"Tegi Pannu, Manni Sandhu",Untouchable,2022-01-21,59,2hDMBVN3P47GEhH5VtmA6m
Punjabi Hits,Signed to God,Sidhu Moose Wala,Moosetape,2021-05-15,63,3lRzVvMNG1QJcHlhLXM0lA
Punjabi Hits,Do Gallan - Let's Talk,"Garry Sandhu, Rahul Sathu",Do Gallan (Let's Talk),2018-11-09,62,7gBjvaMxE92ezPBMljMAcq
Punjabi Hits,Faraar,"Gurinder Gill, Shinda Kahlon, AP Dhillon",Faraar,2019-11-22,65,72H6G8v9xyuwdRBaTkoT5G
Punjabi Hits,Daru Badnaam,"Param Singh, Kamal Kahlon, Pratik Studio",Daru Badnaam,2016-12-24,2,5OF1g7uUehHvavUx13Yo8L
Punjabi Hits,Be Mine,Shubh,Be Mine,2024-07-05,16,2hnzUVqKBws7Vr0rvrRL1u
Punjabi Hits,Afterhours,"Bir, thiarajxtt",Afterhours,2022-07-06,64,7o1SDLghDwMc4OW3rKakVt
Punjabi Hits,G.O.A.T.,Diljit Dosanjh,G.O.A.T.,2020-07-29,69,46QbY78ha62aiu6gBgC7lS
Punjabi Hits,Levels,"Sidhu Moose Wala, Sunny Malton, The Kidd",Levels,2022-05-25,62,60YICjIPdL7LDBcCMK0tAk
Punjabi Hits,Everybody Hurts,Sidhu Moose Wala,No Name,2022-04-25,61,1w3exvIgbRFV2ijf6qyWm8
