playlist,track_name,artist,album,release_date,popularity,track_id
Bollywood Top 50,"Tum Hi Aana (From ""Marjaavaan"")","Payal Dev, Jubin Nautiyal, Kunaal Vermaa","Tum Hi Aana (From ""Marjaavaan"")",2019-10-03,68,6E9UwSfT80age2xknoMS7Y
Bollywood Top 50,"Sapna Jahan (From ""Brothers"")","Ajay-Atul, Sonu Nigam, Neeti Mohan","Sapna Jahan (From ""Brothers"")",2015-07-24,63,6uQkoo1UGWThtEpNEYc6Ga
Bollywood Top 50,"Chale Aana (From ""De De Pyaar De"")","Amaal Mallik, Armaan Malik, Kunaal Vermaa","Chale Aana (From ""De De Pyaar De"")",2019-05-02,65,6vuMdb0E8buJeSHArN3dXk
Bollywood Top 50,Sab Tera Unplugged,Armaan Malik,Amaal Mallik & Armaan Malik - Mtv Unplugged Season 7,2018-02-23,34,6EYhB6w3JQQIrBZNMVjDyb
Bollywood Top 50,Rang Lageya,"Mohit Chauhan, Rochak Kohli",Rang Lageya,2021-03-17,67,7mSzDKajY2wUtstQSLdzMK
Bollywood Top 50,Chidiya,Vilen,Chidiya,2019-12-14,0,0aoN9BQostK81IFddJn8Ej
Bollywood Top 50,"Galliyan (From ""Ek Villain"")",Ankit Tiwari,Best Of Shraddha Kapoor,2017-03-03,60,517bz7zkWELmyL4eZzJ5R9
Bollywood Top 50,Kabhi Jo Badal Barse,Arijit Singh,Best of Arijit Singh,2013-06-23,0,2dOWkdPfiT9SU2Wm734Rh6
Bollywood Top 50,"Tum Hi Ho (From ""Aashiqui 2"")",Arijit Singh,Loveholic Arijit Singh,2019-04-15,60,3oKuEvvclPj25AifUVoKxS
Bollywood Top 50,Tu Hi Hai,"Amit Trivedi, Arijit Singh, Kausar Munir",Dear Zindagi (Original Motion Picture Soundtrack),2016-11-15,57,5b9x5sRIzAgXQw0dhGORO1
Bollywood Top 50,"Tose Naina (From ""Mickey Virus)",Arijit Singh,Love Dose Arijit Singh,2016-02-11,67,2fMlezwwP5Hr1UwuAknN4o
Bollywood Top 50,Nadaan Parinde,"A.R. Rahman, Mohit Chauhan",Rockstar,2011-10-01,64,6Z394Nd4gW6Ts9hmu3NUjx
Bollywood Top 50,"Ranjha (From ""Shershaah"")","Jasleen Royal, B Praak, Romy","Ranjha (From ""Shershaah"")",2021-08-05,76,72zHuDxFQTjbL51qJQSA7j
Bollywood Top 50,"Raataan Lambiyan (From ""Shershaah"")","Tanishk Bagchi, Jubin Nautiyal, Asees Kaur","Raataan Lambiyan (From ""Shershaah"")",2021-07-30,71,2rOnSn2piaqLAlYjtfUBlY
Bollywood Top 50,Kabhii Tumhhe,"Javed-Mohsin, Darshan Raval, Rashmi Virag",Shershaah (Original Motion Picture Soundtrack),2021-08-16,54,6Sflud15ff1KqBzg6wj78S
Bollywood Top 50,Bhare Naina,"Vishal-Shekhar, Nandini Srikar, Panchhi Jalonvi",Ra-One,2011-09-16,55,2UsYQNgpG5tjcDoq8Yg0Nl
Bollywood Top 50,,,,0000,0,0xkGTPTijMU84dtHr3KQQi
Bollywood Top 50,Ye Ishq Hai,"Pritam, Shreya Ghoshal, Irshad Kamil",Jab We Met,2007-09-21,67,4BiPsAV070dg3eLSVf727A
Bollywood Top 50,Chaar Kadam,"Shaan, Shreya Ghoshal, Shantanu Moitra, Swanand Kirkire",Pk,2014-11-17,60,0bYDMpQ94LnF38FiOlc8K9
Bollywood Top 50,"Mere Yaaraa (From ""Sooryavanshi"")","Arijit Singh, Neeti Mohan, Rashmi Virag","Mere Yaaraa (From ""Sooryavanshi"")",2021-10-27,72,0tpwqQhdfJXRcUDSNRjb9O
Bollywood Top 50,,,,0000,0,14eFqoEf1NBm7kh2jWc3TU
Bollywood Top 50,Ik Vaari Aa,"Pritam, Arijit Singh, Amitabh Bhattacharya",Raabta,2017-06-03,70,7fyiYhn7STpHvT5g0lbncC
Bollywood Top 50,Barsaat,"Armaan Malik, Amaal Mallik",Barsaat,2021-09-23,0,7Ip5yQCgWRgWPCgxRuKLU1
Bollywood Top 50,,,,0000,0,1ubC1Mp91cQNk5s1HULkgV
Bollywood Top 50,"Tu Mera Hogaya Hai (From ""Tadap"")","Pritam, Jubin Nautiyal","Tu Mera Hogaya Hai (From ""Tadap"")",2021-11-22,37,4QTPz6303peA6JUeUuH3Ql
Bollywood Top 50,"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")","Ayushmann Khurrana, Tanishk-Vayu","Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")",2020-02-04,66,3qrdLVOClRU4yPkcXZ7c5u
Bollywood Top 50,"Tumse Bhi Zyada (From ""Tadap"")","Pritam, Arijit Singh","Tumse Bhi Zyada (From ""Tadap"")",2021-11-02,47,2cC4DfpPa7x1QZTKQpe3TP
Bollywood Top 50,"Rait Zara Si (From ""Atrangi Re"")","A.R. Rahman, Arijit Singh, Shashaa Tirupati","Rait Zara Si (From ""Atrangi Re"")",2021-12-06,68,4uK0M8AI6gyFmyzUneQpbi
Bollywood Top 50,"Kiston (From ""Roohi"")","Sachin-Jigar, Jubin Nautiyal","Kiston (From ""Roohi"")",2021-02-26,44,0CaKRGxx3bB0ZsIgzx7ivt
Bollywood Top 50,Haule Haule,"Salim–Sulaiman, Sukhwinder Singh, Jaideep Sahni",Rab Ne Bana Di Jodi,2008-11-06,68,2UKK9UEbKlykbmLVP1zWIQ
Bollywood Top 50,O Re Piya,"Salim–Sulaiman, Rahat Fateh Ali Khan, Jaideep Sahni",Aaja Nachle,2007-10-18,71,7cWnks0lsRtpAi87COOiXK
Bollywood Top 50,"Kalle Kalle (From ""Chandigarh Kare Aashiqui"")","Priya Saraiya, Sachin-Jigar","Kalle Kalle (From ""Chandigarh Kare Aashiqui"")",2021-11-22,44,5o6q9gQXi5umBrUczroW79
Bollywood Top 50,Chaka Chak,"Shreya Ghoshal, A.R. Rahman, Irshad Kamil",Atrangi Re,2021-12-06,41,0OJyhzTY024918aYBPxcDP
Bollywood Top 50,"Tera Hua (From ""Cash"")","Arijit Singh, Akull, Riya Duggal","Tera Hua (From ""Cash"")",2021-11-12,46,6HDBzDFSDYSmKzadobMr7e
Bollywood Top 50,"Meri Zindagi Hai Tu (From ""Satyameva Jayate 2"")","Rochak Kohli, Jubin Nautiyal, Neeti Mohan","Meri Zindagi Hai Tu (From ""Satyameva Jayate 2"")",2021-10-28,59,6IWZKBeAkeCzaYNE8SmedK
Bollywood Top 50,Maa,Shankar Mahadevan,Taare Zameen Par,2007-11-05,53,4SuA85PaD8GFTPYwKNYDe1
